split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
0,price_only_logistic,next_21d_positive_return,0.7549407114624506,0.5,0.7549407114624506,1.0,0.8603603603603603,0.18662435056431684,0.7549407114624506,1.0,1.0,253.0,0.5852896470190846,2020-01-02,2020-12-31
0,price_only_logistic_l2,next_21d_positive_return,0.7549407114624506,0.5,0.7549407114624506,1.0,0.8603603603603603,0.18662435056431684,0.7549407114624506,1.0,1.0,253.0,0.5852896470190846,2020-01-02,2020-12-31
0,price_only_logistic_elasticnet,next_21d_positive_return,0.7509881422924901,0.4973821989528796,0.753968253968254,0.9947643979057592,0.8577878103837472,0.18831700971967785,0.7549407114624506,0.9960474308300395,0.0,253.0,0.5814051680459382,2020-01-02,2020-12-31
0,price_only_random_forest,next_21d_positive_return,0.5612648221343873,0.5950430670494848,0.8278688524590164,0.5287958115183246,0.645367412140575,0.2649269650800476,0.7549407114624506,0.48221343873517786,0.0,253.0,0.6080898496875528,2020-01-02,2020-12-31
1,price_only_baseline_majority,next_21d_positive_return,0.7658730158730159,0.5,0.7658730158730159,1.0,0.8674157303370786,0.23412698412698413,0.7658730158730159,1.0,1.0,252.0,0.5,,
1,price_only_logistic,next_21d_positive_return,0.7658730158730159,0.5,0.7658730158730159,1.0,0.8674157303370786,0.19211892757929594,0.7658730158730159,1.0,1.0,252.0,0.4877491876701502,2021-01-04,2021-12-31
1,price_only_logistic_l2,next_21d_positive_return,0.7658730158730159,0.5,0.7658730158730159,1.0,0.8674157303370786,0.19211892757929594,0.7658730158730159,1.0,1.0,252.0,0.4877491876701502,2021-01-04,2021-12-31
1,price_only_logistic_elasticnet,next_21d_positive_return,0.7658730158730159,0.5,0.7658730158730159,1.0,0.8674157303370786,0.1913826029106782,0.7658730158730159,1.0,1.0,252.0,0.5137437428646703,2021-01-04,2021-12-31
1,price_only_random_forest,next_21d_positive_return,0.40476190476190477,0.4231140774567489,0.7009345794392523,0.38860103626943004,0.5,0.2827370864022393,0.7658730158730159,0.4246031746031746,0.0,252.0,0.40072011943444286,2021-01-04,2021-12-31
2,price_only_baseline_majority,next_21d_positive_return,0.4302788844621514,0.5,0.4302788844621514,1.0,0.6016713091922006,0.5697211155378487,0.4302788844621514,1.0,1.0,251.0,0.5,,
2,price_only_logistic,next_21d_positive_return,0.4302788844621514,0.5,0.4302788844621514,1.0,0.6016713091922006,0.34766382762714726,0.4302788844621514,1.0,1.0,251.0,0.8435638435638435,2022-01-03,2022-12-30
2,price_only_logistic_l2,next_21d_positive_return,0.4302788844621514,0.5,0.4302788844621514,1.0,0.6016713091922006,0.34766382762714726,0.4302788844621514,1.0,1.0,251.0,0.8435638435638435,2022-01-03,2022-12-30
2,price_only_logistic_elasticnet,next_21d_positive_return,0.4302788844621514,0.5,0.4302788844621514,1.0,0.6016713091922006,0.35389997521542116,0.4302788844621514,1.0,1.0,251.0,0.8521756021756022,2022-01-03,2022-12-30
2,price_only_random_forest,next_21d_positive_return,0.46215139442231074,0.5211732711732712,0.44155844155844154,0.9444444444444444,0.6017699115044248,0.4213158832139223,0.4302788844621514,0.9203187250996016,0.0,251.0,0.6194638694638694,2022-01-03,2022-12-30
3,price_only_baseline_majority,next_21d_positive_return,0.696,0.5,0.696,1.0,0.8207547169811321,0.304,0.696,1.0,1.0,250.0,0.5,,
3,price_only_logistic,next_21d_positive_return,0.696,0.5,0.696,1.0,0.8207547169811321,0.21181038253007942,0.696,1.0,1.0,250.0,0.5255595886267392,2023-01-03,2023-12-29
3,price_only_logistic_l2,next_21d_positive_return,0.696,0.5,0.696,1.0,0.8207547169811321,0.21181038253007942,0.696,1.0,1.0,250.0,0.5255595886267392,2023-01-03,2023-12-29
3,price_only_logistic_elasticnet,next_21d_positive_return,0.696,0.5,0.696,1.0,0.8207547169811321,0.21170633264905467,0.696,1.0,1.0,250.0,0.5401542649727767,2023-01-03,2023-12-29
3,price_only_random_forest,next_21d_positive_return,0.5,0.3925438596491228,0.6338797814207651,0.6666666666666666,0.6498599439775911,0.29128543400293033,0.696,0.732,0.0,250.0,0.36418632788868727,2023-01-03,2023-12-29
4,price_only_baseline_majority,next_21d_positive_return,0.7896825396825397,0.5,0.7896825396825397,1.0,0.8824833702882483,0.21031746031746032,0.7896825396825397,1.0,1.0,252.0,0.5,,
4,price_only_logistic,next_21d_positive_return,0.7896825396825397,0.5,0.7896825396825397,1.0,0.8824833702882483,0.18177960757135078,0.7896825396825397,1.0,1.0,252.0,0.611263866502323,2024-01-02,2024-12-31
4,price_only_logistic_l2,next_21d_positive_return,0.7896825396825397,0.5,0.7896825396825397,1.0,0.8824833702882483,0.18177960757135078,0.7896825396825397,1.0,1.0,252.0,0.611263866502323,2024-01-02,2024-12-31
4,price_only_logistic_elasticnet,next_21d_positive_return,0.7896825396825397,0.5,0.7896825396825397,1.0,0.8824833702882483,0.1820643036245887,0.7896825396825397,1.0,1.0,252.0,0.5943870294870579,2024-01-02,2024-12-31
4,price_only_random_forest,next_21d_positive_return,0.746031746031746,0.610789798046838,0.835820895522388,0.8442211055276382,0.84,0.193136394793727,0.7896825396825397,0.7976190476190477,0.0,252.0,0.6588603394330141,2024-01-02,2024-12-31
5,price_only_baseline_majority,next_21d_positive_return,0.752,0.5,0.752,1.0,0.8584474885844748,0.248,0.752,1.0,1.0,250.0,0.5,,
5,price_only_logistic,next_21d_positive_return,0.752,0.5,0.752,1.0,0.8584474885844748,0.19843501693462817,0.752,1.0,1.0,250.0,0.30061770761839396,2025-01-02,2025-12-31
5,price_only_logistic_l2,next_21d_positive_return,0.752,0.5,0.752,1.0,0.8584474885844748,0.19843501693462817,0.752,1.0,1.0,250.0,0.30061770761839396,2025-01-02,2025-12-31
5,price_only_logistic_elasticnet,next_21d_positive_return,0.752,0.5,0.752,1.0,0.8584474885844748,0.1990123234938299,0.752,1.0,1.0,250.0,0.2948695950583391,2025-01-02,2025-12-31
